nom;prenom;login;mdp;adresse;cp;commune;date_embauche;email;role
"Villechalane";"Louis";"lvillachane";"jux7g";"8 rue des Charmes";46000;"Cahors";21/12/2005;;
"Andre";"David";"dandre";"oppg5";"1 rue Petit";46230;"Lalbenque";23/11/1998;;
"Bedos";"Christian";"cbedos";"gmhxd";"1 rue Peranud";46800;"Montcuq";12/01/1995;;
"Tusseau";"Louis";"ltusseau";"ktp3s";"22 rue des Ternes";46500;"Gramat";01/05/2000;;
"Bentot";"Pascal";"pbentot";"doyw1";"11 allée des Cerises";79000;"Bessines";09/07/1992;;
"Bioret";"Luc";"lbioret";"hrjfs";"1 Avenue gambetta";46000;"Cahors";11/05/1998;;
"Bunisset";"Francis";"fbunisset";"4vbnd";"10 rue des Perles";93100;"Montreuil";21/10/1987;;
"Bunisset";"Denise";"dbunisset";"s1y1r";"23 rue Manin";75019;"paris";05/12/2010;;
"Cacheux";"Bernard";"bcacheux";"uf7r3";"114 rue Blanche";75017;"Paris";12/11/2009;;
"Cadic";"Eric";"ecadic";"6u8dc";"123 avenue de la République";75011;"Paris";23/09/2008;;
"Charoze";"Catherine";"ccharoze";"u817o";"100 rue Petit";75019;"Paris";12/11/2005;;
"Clepkens";"Christophe";"cclepkens";"bw1us";"12 allée des Anges";93230;"Romainville";11/08/2003;;
"Cottin";"Vincenne";"vcottin";"2hoh9";"36 rue Des Roches";93100;"Montreuil";18/11/2001;;
"Daburon";"François";"fdaburon";"7oqpv";"13 rue de Chanzy";94000;"Créteil";11/02/2002;;
"De";"Philippe";"pde";"gk9kx";"13 rue Barthes";94000;"Créteil";14/12/2010;;
"Debelle";"Michel";"mdebelle";"od5rt";"181 avenue Barbusse";93110;"Rosny sous bois";23/11/2006;;
"Debelle";"Jeanne";"jdebelle";"nvwqq";"134 allée des Joncs";44000;"Nantes";11/05/2000;;
"Debroise";"Michel";"mdebroise";"sghkb";"2 Bld Jourdain";44000;"Nantes";17/04/2001;;
"Desmarquest";"Nathalie";"ndesmarquest";"f1fob";"14 Place d Arc";45000;"Orléans";12/11/2005;;
"Desnost";"Pierre";"pdesnost";"4k2o5";"16 avenue des Cèdres";23000;"Guéret";05/02/2001;;
"Dudouit";"Frédéric";"fdudouit";"44im8";"18 rue de l église";97112;"Grand Bourg";01/08/2000;;
"Duncombe";"Claude";"cduncombe";"qf77j";"19 rue de la tour";23300;"La souterraine";10/10/1987;;
"Enault-Pascreau";"Céline";"cenault";"y2qdu";"25 place de la gare";23000;"Guéret";01/09/1995;;
"Eynde";"Valérie";"veynde";"i7sn3";"3 Grand Place";13015;"Marseille";01/11/1999;;
"Finck";"Jacques";"jfinck";"mpb3t";"10 avenue du Prado";13002;"Marseille";10/11/2001;;
"Frémont";"Fernande";"ffremont";"xs5tq";"4 route de la mer";13190;"Allauch";01/10/1998;;
"Gest";"Alain";"agest";"dywvt";"30 avenue de la mer";13130;"Berre l etang";01/11/1985;;
